GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.control,LogoutServlet,20,0,2,0,8,0,3,0,2,0
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.control,ChangePasswordServlet,10,179,2,10,6,47,2,7,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.control,LoginServlet,16,211,5,19,5,64,5,10,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.control,CreateAccountServlet,3,190,4,12,2,50,4,7,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.requiredtrainingplan.bean,RequiredTrainingPlan,0,45,0,0,0,13,0,7,0,7
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.bean,Appointment,0,36,0,0,0,16,0,8,0,8
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.bean,Availability,17,26,0,0,1,12,1,6,1,6
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.dao,AccountDAOImpl,0,191,0,6,0,45,0,9,0,6
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.control,InsertAvailabilityServlet,0,97,0,2,0,28,0,4,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.control,RequestAppointmentServlet,22,59,0,2,4,14,0,4,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.control,RemoveAppointmentServlet,11,109,0,0,6,25,0,3,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.control,AllAppointmentsServlet,11,47,1,1,3,15,1,3,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.control,HoursServlet,15,51,2,2,5,15,2,3,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.control,ViewAvailabilityServlet,0,93,0,2,0,26,0,4,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.parameters.service,ParametersServiceImpl,0,186,3,27,0,49,3,16,0,4
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.dao,AgendaDAOImpl,0,254,0,6,0,73,0,16,0,13
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.firebase,DBConnection,0,17,0,2,0,8,0,2,0,1
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.subscription.bean,Subscription,33,46,0,0,1,20,1,10,1,10
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.parameters.dao,ParametersDAOImpl,0,86,0,2,0,24,0,4,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.service,AccountServiceImpl,10,192,1,23,4,52,3,20,2,9
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.requiredtrainingplan.service,RequiredTrainingPlanServiceImpl,21,64,4,6,8,23,6,6,2,5
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.trainingplan.dao,TrainingPlanDAOImpl,0,71,0,2,0,23,0,6,0,5
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.requiredtrainingplan.control,ManageRequiredTrainingPlanServlet,99,39,7,1,35,12,4,3,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.requiredtrainingplan.dao,RequiredTrainingPlanDAOImpl,44,124,2,4,12,34,2,7,1,5
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.trainingplan.control,CreateTrainingPlanServlet,5,236,1,7,2,51,1,6,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.trainingplan.control,DownloadTrainingPlanServlet,170,0,0,0,43,0,3,0,3,0
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.agenda.service,AgendaServiceImpl,25,147,6,22,5,37,7,17,1,9
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.parameters.bean,Parameters,101,0,0,0,28,0,13,0,13,0
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.account.bean,Account,0,113,0,0,0,29,0,15,0,15
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.parameters.control,ParametersController,0,87,2,2,0,24,2,3,0,3
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.trainingplan.service,TrainingPlanServiceImpl,3,135,3,29,2,36,4,17,1,4
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.trainingplan.bean,TrainingPlan,28,41,0,0,1,18,1,8,1,8
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.subscription.dao,SubscriptionDAOImpl,0,186,0,6,0,45,0,9,0,6
myPersonalTrainer,it.unisa.c03.myPersonalTrainer.subscription.service,SubscriptionServiceImpl,2,249,6,16,1,64,6,15,0,10
